,Time,K,N,Learning Rate,Train AUC,Test AUC
166,1.2785697260001143,7,7,0.02,0.9147999882698059,0.824999988079071
167,0.86559081900009,8,7,0.02,0.9125999808311462,0.8238000273704529
168,1.034225281999852,9,7,0.02,0.9101999998092651,0.8217999935150146
169,1.0473639530000582,10,7,0.02,0.904699981212616,0.8192999958992004
170,0.8690853389998665,1,8,0.02,0.9186999797821045,0.828000009059906
171,0.8728533450000668,2,8,0.02,0.9104999899864197,0.8220000267028809
172,0.8573374249999688,3,8,0.02,0.9126999974250793,0.8238999843597412
173,1.2785615940001662,4,8,0.02,0.9168999791145325,0.826200008392334
174,1.2750311409999995,5,8,0.02,0.9160000085830688,0.8256000280380249
175,1.2683661529999881,6,8,0.02,0.9153000116348267,0.8263999819755554
176,0.9935334839999541,7,8,0.02,0.9143000245094299,0.8253999948501587
177,0.9037518370000726,8,8,0.02,0.9126999974250793,0.8234000205993652
178,1.2682419960001425,9,8,0.02,0.9110999703407288,0.8235999941825867
179,1.234526765000055,10,8,0.02,0.9092000126838684,0.8202999830245972
180,0.88914120000004,1,9,0.02,0.9139999747276306,0.8256000280380249
181,0.8647255030000451,2,9,0.02,0.9067999720573425,0.8192999958992004
182,0.8534224190000259,3,9,0.02,0.9106000065803528,0.8227999806404114
183,0.8590325850000227,4,9,0.02,0.9103999733924866,0.8222000002861023
184,0.8682418109999617,5,9,0.02,0.9143999814987183,0.826200008392334
185,0.8626537080001526,6,9,0.02,0.9139999747276306,0.8248000144958496
186,1.085020502999896,7,9,0.02,0.9136000275611877,0.8242999911308289
187,0.9966782720000538,8,9,0.02,0.914900004863739,0.8258000016212463
188,0.8645133929999247,9,9,0.02,0.9135000109672546,0.8237000107765198
189,1.2369563159998052,10,9,0.02,0.9126999974250793,0.8241000175476074
190,0.8665876889999709,1,10,0.02,0.9157999753952026,0.8251000046730042
191,1.1500979289999123,2,10,0.02,0.9140999913215637,0.8241000175476074
192,0.8589427720000913,3,10,0.02,0.9138000011444092,0.8245000243186951
193,0.8601446229999965,4,10,0.02,0.90829998254776,0.8202999830245972
194,1.052133996999828,5,10,0.02,0.909500002861023,0.820900022983551
195,0.8647039060001589,6,10,0.02,0.910099983215332,0.822700023651123
196,0.8602348659999279,7,10,0.02,0.9108999967575073,0.8213000297546387
197,1.2758326969999416,8,10,0.02,0.9150000214576721,0.8248999714851379
198,0.8626104820000364,9,10,0.02,0.9157999753952026,0.8260999917984009
199,0.8580146770000283,10,10,0.02,0.9162999987602234,0.8251000046730042
200,0.8682812869999452,1,1,0.03,0.9369999766349792,0.838100016117096
201,0.8697120110000469,2,1,0.03,0.9398000240325928,0.8425999879837036
202,1.2646528880000005,3,1,0.03,0.9409999847412109,0.8420000076293945
203,0.8730971400000271,4,1,0.03,0.9386000037193298,0.8402000069618225
204,0.8683289319999403,5,1,0.03,0.9326000213623047,0.8356000185012817
205,0.9216830309999295,6,1,0.03,0.9376000165939331,0.8406999707221985
206,0.8832621799999743,7,1,0.03,0.9192000031471252,0.8258000016212463
207,1.285187747000009,8,1,0.03,0.9332000017166138,0.836899995803833
208,1.2678815320000467,9,1,0.03,0.9409000277519226,0.8434000015258789
209,0.8787461120000444,10,1,0.03,0.9355999827384949,0.8385000228881836
210,0.8642006380000566,1,2,0.03,0.9337000250816345,0.8385000228881836
211,0.872305693999806,2,2,0.03,0.9369999766349792,0.8385000228881836
212,0.8696726019998096,3,2,0.03,0.9381999969482422,0.8395000100135803
213,0.8733739709998645,4,2,0.03,0.925599992275238,0.8294000029563904
214,0.8712679850000313,5,2,0.03,0.935699999332428,0.8374000191688538
215,0.8726644659998328,6,2,0.03,0.9307000041007996,0.8356000185012817
216,0.8725912769998558,7,2,0.03,0.9416999816894531,0.8432000279426575
217,1.244149077999964,8,2,0.03,0.9369999766349792,0.8384000062942505
218,1.2684102759999405,9,2,0.03,0.9362999796867371,0.839900016784668
219,1.2706007960000534,10,2,0.03,0.9350000023841858,0.8384000062942505
220,0.8897940899998957,1,3,0.03,0.934499979019165,0.838699996471405
221,1.2739204399999835,2,3,0.03,0.9373000264167786,0.8389000296592712
222,1.2676890409998123,3,3,0.03,0.9397000074386597,0.8421000242233276
223,0.8743086459999176,4,3,0.03,0.9332000017166138,0.8361999988555908
224,0.9043349949999993,5,3,0.03,0.9302999973297119,0.8335000276565552
225,0.8750598859999172,6,3,0.03,0.9391000270843506,0.8403000235557556
226,0.8645038270001351,7,3,0.03,0.9416999816894531,0.84170001745224
227,1.1109093510001458,8,3,0.03,0.9359999895095825,0.8384000062942505
228,0.8754177270000127,9,3,0.03,0.935699999332428,0.836899995803833
229,1.2784928380001475,10,3,0.03,0.9337999820709229,0.8371000289916992
230,1.2436877330001153,1,4,0.03,0.9334999918937683,0.8378999829292297
231,0.8732667599999786,2,4,0.03,0.9291999936103821,0.8323000073432922
232,1.1114836960000503,3,4,0.03,0.9391000270843506,0.8407999873161316
233,0.8692982099998972,4,4,0.03,0.9369999766349792,0.8396000266075134
234,0.8693530530001681,5,4,0.03,0.9359999895095825,0.8389999866485596
235,0.8728351209999801,6,4,0.03,0.9408000111579895,0.8421000242233276
236,0.8942223619999368,7,4,0.03,0.9266999959945679,0.8313000202178955
237,0.8769073549999575,8,4,0.03,0.9390000104904175,0.840399980545044
238,0.8810029579999537,9,4,0.03,0.9372000098228455,0.8388000130653381
239,0.8783562860000984,10,4,0.03,0.9330000281333923,0.8366000056266785
240,0.8746873259999575,1,5,0.03,0.9416999816894531,0.8421000242233276
241,0.8818360610000582,2,5,0.03,0.9358999729156494,0.8375999927520752
242,1.053342955999824,3,5,0.03,0.9333999752998352,0.8353000283241272
243,0.8796605659999841,4,5,0.03,0.9358000159263611,0.838100016117096
244,0.8745531470001424,5,5,0.03,0.9397000074386597,0.8432999849319458
245,0.8893323300001157,6,5,0.03,0.9419000148773193,0.8414000272750854
246,0.8963998060000904,7,5,0.03,0.9376999735832214,0.8379999995231628
247,0.8890535509999609,8,5,0.03,0.9302999973297119,0.8346999883651733
248,0.8833662780000395,9,5,0.03,0.9379000067710876,0.8410000205039978
249,0.8922442409998439,10,5,0.03,0.9358000159263611,0.8373000025749207
250,0.8912923210000372,1,6,0.03,0.9309999942779541,0.8345999717712402
251,0.8936055389999638,2,6,0.03,0.9314000010490417,0.8352000117301941
252,0.8927111780001269,3,6,0.03,0.9329000115394592,0.8363999724388123
253,0.9830062320002071,4,6,0.03,0.9296000003814697,0.8323000073432922
254,0.8777230890000283,5,6,0.03,0.9376999735832214,0.8411999940872192
255,1.2692320409998956,6,6,0.03,0.9394000172615051,0.84170001745224
256,0.8748562369999036,7,6,0.03,0.9372000098228455,0.8393999934196472
257,1.2208350090002114,8,6,0.03,0.9420999884605408,0.842199981212616
258,1.2696184920000633,9,6,0.03,0.9300000071525574,0.8341000080108643
